Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
bank,Pystacknet,9,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.9004424778761062,0.6760576923076923,0.3239423076923077,0.6060606060606061,0.10173076923076924,0.06450428935232809,4.948467338457704,0.9704860590760951
analcatdata_boxing1,Pystacknet,0,"{'RandomForestClassifier_est_1': 200, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.53125,0.7455357142857143,1.4484962951391935,32.31010865420103
analcatdata_boxing1,Pystacknet,1,"{'RandomForestClassifier_est_1': 350, 'ExtraTreesClassifier_est': 150, 'verbose': 0}",0.75,0.625,0.375,0.7272727272727273,0.71875,0.7602678571428572,2.578636792488396,18.4942443544666
analcatdata_boxing1,Pystacknet,2,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 250, 'verbose': 0}",0.8333333333333334,0.75,0.25,0.8,0.4375,0.7624323593073593,1.6067307433113456,26.99836816949149
analcatdata_boxing1,Pystacknet,3,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.75,0.625,0.375,0.7272727272727273,0.3125,0.591220238095238,2.3980281772091985,38.98008718776206
analcatdata_boxing1,Pystacknet,4,"{'RandomForestClassifier_est_1': 400, 'ExtraTreesClassifier_est': 300, 'verbose': 0}",0.8333333333333334,0.75,0.25,0.8,0.375,0.7156565656565657,1.9796867994591594,107.66751606327792
analcatdata_boxing1,Pystacknet,5,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.75,0.625,0.375,0.7272727272727273,0.625,0.8333333333333333,1.6736014178022742,33.42962350385884
analcatdata_boxing1,Pystacknet,6,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 200, 'verbose': 0}",0.5833333333333334,0.5,0.5,0.6666666666666666,0.34375,0.6999323593073593,1.7869290262460709,41.997351528455816
analcatdata_boxing1,Pystacknet,7,"{'RandomForestClassifier_est_1': 300, 'ExtraTreesClassifier_est': 200, 'verbose': 0}",0.6666666666666666,0.6875,0.3125,0.8333333333333334,0.65625,0.8510281385281385,2.1493759248405695,40.190809251119695
analcatdata_boxing1,Pystacknet,8,"{'RandomForestClassifier_est_1': 400, 'ExtraTreesClassifier_est': 250, 'verbose': 0}",0.6666666666666666,0.6,0.4,0.6363636363636364,0.6571428571428571,0.7440476190476191,2.803689089603722,24.93612002581358
analcatdata_boxing1,Pystacknet,9,"{'RandomForestClassifier_est_1': 300, 'ExtraTreesClassifier_est': 250, 'verbose': 0}",0.6666666666666666,0.6285714285714286,0.37142857142857144,0.6666666666666666,0.657142857142857,0.8274170274170274,3.341044935397804,22.80063492556413
waveform,Pystacknet,0,"{'RandomForestClassifier_est_1': 150, 'ExtraTreesClassifier_est': 200, 'verbose': 0}",0.83,0.8300059417706477,0.08499702911467617,0.8300698632812837,0.9650760457959754,0.9636036346252567,15.219869357533753,0.5762704871594906
