Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
lung-cancer,H2O-GBM,8,"{'ntrees': 10, 'max_depth': 5, 'min_rows': 35}",0.0,0.0,0.6666666666666666,0.0,0.17777777777777778,0.5343108001747708,0.5341173121705651,3.933226428925991
lung-cancer,H2O-GBM,9,"{'ntrees': 20, 'max_depth': 3, 'min_rows': 45}",0.0,0.0,0.6666666666666666,0.0,0.17777777777777778,0.5058789331583449,1.2258299617096782,3.681916259229183
waveform-noise,H2O-GBM,0,"{'ntrees': 10, 'max_depth': 4, 'min_rows': 25}",0.092,0.10540760855867436,0.6165680473372781,0.059293349891640486,0.22966563399154016,0.4161436109910229,0.946261047385633,1.1684599258005621
waveform-noise,H2O-GBM,1,"{'ntrees': 10, 'max_depth': 3, 'min_rows': 15}",0.106,0.1330792778429479,0.6137768214691292,0.06203183520599252,0.2610409957626472,0.4229716457093969,1.947699435055256,1.1419560741633177
waveform-noise,H2O-GBM,2,"{'ntrees': 10, 'max_depth': 4, 'min_rows': 5}",0.08199999999999999,0.09741026145103994,0.6145239376008607,0.051079171506000776,0.2214164767025172,0.4071793459657527,1.809841241687536,1.1540997307747602
waveform-noise,H2O-GBM,3,"{'ntrees': 10, 'max_depth': 3, 'min_rows': 25}",0.12,0.14741195371408533,0.5885482039328194,0.08133553694453212,0.2642261386672375,0.4405698603942289,1.3820598954334855,1.1735124196857214
waveform-noise,H2O-GBM,4,"{'ntrees': 10, 'max_depth': 6, 'min_rows': 5}",0.076,0.0892459923970582,0.6416532185762955,0.042539682539682544,0.2130296565620408,0.39770057357482064,1.5950959790498018,1.1090144962072372
waveform-noise,H2O-GBM,5,"{'ntrees': 10, 'max_depth': 6, 'min_rows': 15}",0.09,0.11717171717171715,0.6196969696969697,0.05645000993838203,0.23276150442085475,0.4218686568520214,1.6553374929353597,1.1527030859142542
waveform-noise,H2O-GBM,6,"{'ntrees': 80, 'max_depth': 6, 'min_rows': 15}",0.07200000000000001,0.0936423054070113,0.6153297682709448,0.0491488963711186,0.19390028467289225,0.41967488036240463,1.696724670007825,1.113817684352398
waveform-noise,H2O-GBM,7,"{'ntrees': 10, 'max_depth': 3, 'min_rows': 5}",0.078,0.09134965539043388,0.6178085121551294,0.04713277678393957,0.2256900572049289,0.4118947061697697,1.6090398654341698,1.1783476434648037
waveform-noise,H2O-GBM,8,"{'ntrees': 10, 'max_depth': 4, 'min_rows': 25}",0.078,0.0996443367156991,0.6136855112758727,0.0526197289915095,0.2114063621476333,0.4190613996456095,1.2037734426558018,1.1204544398933651
waveform-noise,H2O-GBM,9,"{'ntrees': 10, 'max_depth': 7, 'min_rows': 25}",0.094,0.11538778387712585,0.6107803997053302,0.06034677562188144,0.2339501359816174,0.4149962619165721,1.8000322170555592,1.1857339590787888
ecoli,H2O-GBM,0,"{'ntrees': 40, 'max_depth': 3, 'min_rows': 5}",0.05882352941176471,0.07523809523809524,0.3648809523809524,0.023859649122807008,0.1813669590643275,0.5203997578972701,0.5392679143697023,3.499106038361788
ecoli,H2O-GBM,1,"{'ntrees': 10, 'max_depth': 7, 'min_rows': 45}",0.029411764705882363,0.013333333333333329,0.39666666666666667,0.01,0.1730489417989418,0.5057226107174968,0.6002824101597071,3.652196459691314
ecoli,H2O-GBM,2,"{'ntrees': 10, 'max_depth': 6, 'min_rows': 25}",0.0,0.05,0.4125,0.0,0.17265154200638075,0.5949871915058502,0.5866440711542964,9.345396506515415
ecoli,H2O-GBM,3,"{'ntrees': 10, 'max_depth': 5, 'min_rows': 45}",0.030303030303030307,0.014285714285714284,0.3901785714285714,0.01,0.16205703914959813,0.5238784923796533,0.764005996286869,3.6901519492720114
ecoli,H2O-GBM,4,"{'ntrees': 10, 'max_depth': 5, 'min_rows': 25}",0.0,0.0,0.3825,0.0,0.16206371323191182,0.5061240372222376,0.5824641864746809,3.743088352635051
ecoli,H2O-GBM,5,"{'ntrees': 20, 'max_depth': 3, 'min_rows': 25}",0.0,0.0,0.31805555555555554,0.0,0.15873265152127627,0.5816791953316721,0.5967814587056637,4.0010985720789805
ecoli,H2O-GBM,6,"{'ntrees': 80, 'max_depth': 3, 'min_rows': 5}",0.0,0.0,0.2966666666666667,0.0,0.16568569721795529,0.6064375570679751,0.5525202583521605,10.300466508576363
ecoli,H2O-GBM,7,"{'ntrees': 20, 'max_depth': 4, 'min_rows': 45}",0.0,0.03333333333333333,0.2407936507936508,0.0,0.19271334698754053,0.6688828782228551,0.3231832543388009,4.578904164108363
ecoli,H2O-GBM,8,"{'ntrees': 60, 'max_depth': 6, 'min_rows': 35}",0.060606060606060615,0.057142857142857134,0.3342857142857143,0.016666666666666666,0.2040410052910053,0.6376463507968925,0.8022922901436687,4.246391609988429
ecoli,H2O-GBM,9,"{'ntrees': 10, 'max_depth': 3, 'min_rows': 35}",0.060606060606060615,0.02083333333333333,0.2945238095238095,0.02083333333333333,0.14812189523989186,0.6549590656519836,0.33866237197071314,4.759312579126068
squash-unstored,H2O-GBM,0,"{'ntrees': 10, 'max_depth': 7, 'min_rows': 45}",0.0,0.0,0.6666666666666666,0.0,0.2727272727272728,0.44556327065034496,0.619572164490819,6.058576472458388
